Target in-degree, Target out-degree
378, 102
115, 128
146, 154
114, 118
976, 168
290, 103
228, 396
632, 128
165, 105
109, 171
283, 119
213, 225
249, 253
822, 102
108, 221
114, 990
235, 135
124, 112
341, 150
136, 301
2631, 113
351, 224
103, 279
100, 175
361, 109
109, 199
133, 288
133, 107
170, 128
109, 202
5000, 126
190, 234
202, 443
391, 157
133, 120
127, 132
141, 111
103, 147
591, 103
100, 278
113, 109
145, 162
532, 270
187, 152
106, 234
109, 106
101, 241
289, 205
193, 208
112, 1099
476, 149
129, 128
182, 134
249, 164
141, 252
128, 175
396, 242
106, 284
161, 217
122, 180
142, 136
207, 143
108, 151
105, 239
109, 118
224, 102
209, 101
131, 122
136, 106
277, 262
322, 107
131, 223
318, 142
157, 131
107, 249
529, 160
109, 179
528, 118
103, 2195
698, 113
117, 200
115, 410
205, 164
111, 102
184, 547
282, 145
101, 109
110, 331
165, 190
113, 192
135, 106
110, 154
207, 103
221, 224
102, 198
375, 121
125, 104
109, 689
177, 123
1011, 114
115, 257
184, 116
400, 237
102, 141
132, 116
102, 225
124, 112
114, 639
116, 398
197, 119
162, 159
153, 293
171, 183
249, 109
365, 231
127, 103
153, 452
120, 133
191, 123
251, 886
151, 268
208, 242
547, 345
210, 109
233, 128
132, 119
302, 302
102, 135
141, 272
156, 122
157, 275
127, 864
212, 167
128, 127
293, 104
122, 122
320, 554
2294, 250
264, 207
372, 156
1073, 116
232, 275
101, 251
111, 143
164, 192
210, 101
141, 1072
1172, 106
161, 125
137, 128
131, 196
174, 112
172, 172
483, 130
118, 264
301, 115
953, 164
1029, 1176
124, 108
139, 290
242, 104
305, 110
102, 280
118, 167
105, 182
346, 141
119, 142
173, 276
927, 152
108, 115
119, 515
137, 116
147, 132
114, 229
149, 173
161, 115
191, 130
130, 201
108, 167
115, 114
110, 102
177, 134
147, 110
110, 141
185, 120
180, 332
112, 822
102, 182
127, 117
127, 252
264, 303
605, 139
110, 122
103, 120
281, 118
142, 511
121, 1587
123, 219
109, 140
107, 235
196, 214
172, 280
197, 181
137, 621
287, 213
216, 173
157, 190
693, 190
389, 1317
360, 204
116, 123
176, 149
121, 331
111, 136
119, 119
107, 377
504, 199
201, 170
119, 102
