Target in-degree, Target out-degree
179, 172
110, 126
116, 207
105, 135
103, 122
106, 295
135, 104
109, 137
145, 220
141, 309
111, 117
126, 475
122, 104
297, 138
109, 151
100, 257
113, 111
113, 138
453, 120
364, 100
167, 102
296, 105
106, 103
151, 166
252, 103
147, 101
121, 324
719, 168
626, 274
107, 107
132, 107
738, 168
121, 112
106, 117
143, 102
117, 108
104, 109
115, 111
112, 222
243, 102
259, 125
104, 110
117, 103
232, 115
350, 398
127, 123
104, 125
915, 127
150, 106
169, 103
108, 347
113, 113
104, 135
130, 117
115, 115
121, 105
159, 128
117, 282
134, 105
107, 125
101, 141
183, 105
262, 180
138, 130
220, 107
138, 398
102, 180
109, 106
108, 152
127, 128
226, 182
140, 130
105, 205
118, 146
257, 129
297, 278
313, 156
498, 201
118, 133
109, 104
149, 167
100, 156
123, 109
181, 138
192, 104
277, 146
212, 125
421, 272
107, 114
128, 607
165, 118
253, 146
276, 225
118, 108
114, 134
113, 216
105, 114
126, 132
128, 104
315, 107
108, 208
171, 361
107, 158
217, 116
241, 111
114, 136
136, 104
896, 122
282, 117
138, 106
187, 182
307, 226
373, 117
114, 121
123, 107
134, 139
306, 105
130, 101
183, 112
118, 146
127, 142
877, 249
154, 627
110, 135
115, 168
151, 492
124, 136
205, 117
191, 894
157, 103
106, 102
149, 100
108, 473
102, 251
109, 120
126, 146
233, 125
126, 129
122, 147
257, 153
111, 130
146, 146
274, 119
227, 156
118, 129
170, 129
134, 112
129, 155
109, 132
132, 120
196, 220
247, 150
109, 112
444, 139
197, 222
103, 373
112, 156
136, 104
296, 117
173, 110
173, 121
151, 106
144, 531
180, 175
129, 106
755, 107
331, 235
179, 103
101, 166
148, 207
133, 158
181, 167
111, 109
188, 104
131, 127
115, 105
183, 228
111, 113
209, 295
308, 110
100, 285
120, 331
181, 891
562, 189
163, 143
140, 103
106, 111
183, 119
123, 131
126, 203
223, 161
253, 141
132, 102
189, 111
361, 161
125, 362
140, 172
244, 111
168, 224
327, 117
120, 128
122, 131
154, 102
187, 341
135, 105
174, 115
183, 144
198, 107
150, 137
121, 138
104, 176
129, 152
123, 114
202, 830
102, 172
116, 123
103, 156
205, 165
162, 138
148, 104
152, 113
121, 117
193, 103
128, 118
145, 185
205, 158
127, 109
110, 190
128, 361
185, 132
155, 532
209, 166
149, 146
117, 110
101, 232
115, 153
102, 149
250, 204
160, 114
102, 107
394, 227
194, 121
552, 324
102, 125
241, 200
217, 130
187, 150
103, 117
105, 121
133, 105
107, 175
176, 109
114, 144
361, 247
198, 563
574, 177
211, 184
5000, 197
160, 102
106, 133
218, 301
257, 142
135, 314
208, 147
