Target in-degree, Target out-degree
46, 40
22, 21
22, 22
21, 28
41, 30
25, 32
25, 25
23, 21
20, 21
25, 37
33, 22
23, 27
28, 23
21, 24
25, 21
60, 23
20, 21
26, 23
24, 30
54, 22
24, 24
20, 44
44, 23
20, 53
25, 26
34, 22
32, 21
40, 24
25, 20
37, 57
22, 34
23, 22
72, 40
27, 23
27, 26
28, 20
69, 29
44, 41
20, 66
36, 26
25, 28
36, 22
34, 30
29, 22
31, 25
22, 48
23, 27
21, 22
25, 33
29, 20
23, 23
20, 22
95, 56
21, 20
48, 93
27, 24
27, 24
30, 24
21, 23
30, 41
41, 51
35, 21
26, 123
25, 72
32, 21
20, 21
24, 20
23, 24
20, 25
25, 54
25, 21
24, 21
25, 21
26, 29
25, 22
26, 23
21, 23
26, 29
23, 20
29, 21
21, 29
21, 27
32, 26
20, 33
20, 25
31, 26
26, 21
29, 20
22, 22
31, 30
24, 22
20, 27
28, 27
22, 63
28, 46
21, 34
27, 22
23, 23
35, 23
21, 40
37, 37
24, 24
56, 21
24, 21
23, 21
39, 32
24, 48
23, 20
26, 27
20, 21
26, 21
64, 21
23, 23
25, 21
30, 27
20, 26
24, 25
49, 24
28, 23
26, 66
26, 24
31, 63
23, 21
20, 43
30, 20
21, 22
21, 20
23, 25
24, 36
29, 21
24, 32
28, 40
22, 26
22, 42
51, 36
39, 25
22, 27
24, 28
29, 25
26, 23
25, 27
27, 28
29, 63
21, 20
34, 34
21, 22
26, 33
21, 35
23, 23
30, 22
22, 26
32, 25
21, 22
21, 37
29, 27
22, 21
22, 37
33, 40
34, 43
48, 27
30, 20
37, 22
37, 51
20, 21
23, 33
25, 25
23, 22
64, 25
24, 20
23, 21
29, 26
22, 41
24, 21
32, 22
77, 29
35, 30
32, 28
54, 27
27, 20
33, 42
34, 22
24, 21
25, 23
27, 53
24, 53
21, 21
25, 23
62, 43
24, 31
21, 24
24, 44
21, 21
26, 21
32, 21
21, 26
20, 41
34, 24
20, 22
33, 27
22, 22
26, 23
22, 20
29, 22
62, 21
76, 20
26, 24
68, 29
26, 26
32, 23
