Target in-degree, Target out-degree
103, 128
102, 118
117, 152
134, 102
130, 202
122, 108
213, 122
191, 101
102, 172
122, 109
166, 153
106, 113
103, 178
242, 128
125, 187
107, 134
117, 110
331, 159
322, 132
177, 127
121, 111
154, 115
151, 134
116, 163
117, 171
438, 106
128, 106
124, 137
383, 119
105, 124
110, 114
102, 138
133, 101
117, 130
134, 107
102, 101
123, 167
116, 107
116, 151
259, 158
127, 243
224, 101
103, 117
142, 102
167, 166
130, 101
104, 135
142, 146
138, 101
109, 108
108, 112
109, 146
102, 135
188, 121
113, 169
107, 176
153, 103
189, 174
124, 126
204, 111
112, 120
112, 118
101, 259
102, 140
307, 112
185, 107
133, 103
191, 141
144, 150
103, 306
126, 110
166, 109
116, 140
101, 179
105, 224
103, 120
115, 117
174, 116
114, 201
530, 112
106, 183
123, 157
222, 114
117, 133
101, 123
129, 128
152, 114
157, 102
276, 164
212, 103
147, 379
127, 101
116, 114
117, 146
108, 117
298, 117
108, 120
104, 104
158, 125
147, 164
273, 109
113, 144
129, 101
156, 125
175, 140
134, 126
137, 103
127, 332
120, 208
142, 139
110, 137
523, 123
101, 104
133, 168
135, 110
132, 130
124, 193
108, 100
216, 272
126, 152
134, 103
108, 108
107, 153
106, 136
137, 177
109, 196
121, 108
114, 124
114, 216
110, 224
106, 178
122, 139
146, 144
141, 134
138, 105
112, 108
109, 126
118, 119
109, 132
100, 183
118, 109
150, 177
122, 101
112, 161
245, 130
145, 103
117, 105
153, 102
170, 116
140, 119
127, 243
137, 157
121, 100
106, 143
134, 106
126, 318
118, 108
168, 180
109, 103
135, 106
139, 111
110, 100
118, 336
102, 107
115, 148
135, 188
138, 108
135, 102
109, 157
152, 172
215, 108
164, 112
119, 132
104, 141
141, 150
174, 111
316, 102
111, 116
101, 114
130, 117
101, 105
109, 140
115, 176
148, 132
131, 119
117, 123
138, 105
157, 101
151, 192
145, 116
132, 125
138, 129
130, 213
209, 134
109, 121
294, 110
132, 107
202, 226
100, 132
125, 131
343, 191
101, 135
100, 161
138, 151
138, 112
102, 107
164, 147
153, 114
134, 137
219, 173
101, 195
102, 137
102, 237
128, 102
126, 100
137, 124
193, 139
102, 195
118, 146
133, 100
322, 140
108, 157
114, 233
102, 221
129, 313
152, 133
181, 161
107, 205
147, 151
249, 107
152, 130
142, 133
107, 151
121, 132
118, 101
133, 116
142, 165
104, 365
149, 106
207, 109
105, 136
173, 312
116, 517
188, 102
149, 167
109, 119
114, 202
437, 127
135, 120
103, 382
121, 143
115, 103
121, 122
103, 105
137, 299
116, 158
132, 107
152, 238
106, 132
339, 196
115, 108
112, 147
103, 111
107, 145
148, 111
143, 105
237, 1046
109, 116
122, 113
125, 102
111, 192
173, 182
101, 128
161, 108
103, 155
102, 121
252, 115
104, 101
137, 113
148, 113
134, 115
121, 127
115, 145
196, 170
369, 116
191, 110
108, 144
103, 110
107, 185
122, 111
133, 127
152, 127
188, 182
129, 123
106, 109
162, 155
133, 108
110, 241
202, 104
154, 192
123, 133
104, 146
110, 107
241, 121
101, 117
150, 137
202, 120
105, 154
110, 143
107, 118
208, 273
105, 123
106, 117
118, 101
124, 104
210, 253
149, 1148
138, 257
107, 130
117, 109
232, 103
183, 171
125, 296
128, 156
138, 152
105, 127
144, 111
355, 177
140, 117
190, 104
125, 158
102, 107
158, 144
105, 248
108, 126
106, 105
133, 600
247, 102
285, 123
172, 133
107, 254
103, 183
108, 102
143, 185
121, 127
272, 246
110, 724
105, 1421
144, 110
248, 201
161, 103
100, 115
103, 263
119, 102
119, 108
139, 133
105, 151
120, 115
165, 103
107, 109
134, 105
106, 184
105, 111
184, 171
129, 164
146, 112
196, 148
139, 284
140, 101
100, 101
109, 139
138, 117
115, 101
154, 104
104, 229
115, 148
102, 125
129, 107
161, 117
517, 112
105, 145
134, 100
116, 109
311, 629
110, 319
101, 125
135, 143
196, 248
148, 135
102, 170
127, 118
125, 132
198, 101
161, 139
118, 159
233, 129
120, 127
130, 167
154, 127
166, 343
124, 176
123, 103
124, 114
100, 106
235, 102
290, 121
122, 122
100, 114
124, 161
268, 193
127, 197
118, 247
117, 257
152, 104
122, 126
103, 248
113, 129
100, 167
196, 101
262, 168
103, 218
109, 129
116, 109
189, 178
390, 171
147, 126
144, 103
120, 102
101, 105
105, 124
141, 109
119, 280
161, 120
156, 139
122, 147
120, 129
134, 141
102, 254
196, 227
161, 189
152, 122
115, 117
128, 164
120, 131
230, 133
101, 131
170, 121
127, 131
192, 110
107, 113
249, 137
182, 128
110, 213
123, 104
174, 109
320, 128
145, 113
221, 108
103, 114
159, 100
221, 165
132, 150
108, 103
111, 103
114, 122
117, 111
102, 108
168, 113
104, 110
120, 232
124, 118
122, 105
151, 116
115, 170
147, 103
171, 135
196, 116
112, 103
122, 131
106, 166
100, 129
102, 102
157, 184
116, 188
103, 167
163, 132
107, 108
150, 208
132, 102
147, 110
105, 125
185, 100
189, 105
103, 113
148, 110
103, 149
163, 105
160, 127
322, 104
116, 102
218, 105
138, 103
115, 114
328, 222
117, 143
106, 127
105, 100
127, 525
105, 136
112, 182
184, 117
129, 137
127, 112
104, 124
119, 124
129, 113
137, 106
118, 276
125, 116
193, 191
100, 101
116, 106
101, 205
105, 106
125, 121
709, 114
176, 128
249, 114
174, 102
171, 108
129, 115
127, 105
125, 216
103, 349
111, 290
181, 111
366, 108
120, 100
103, 133
106, 132
101, 106
211, 181
148, 180
106, 126
205, 285
151, 120
112, 109
132, 167
105, 144
162, 118
138, 135
143, 136
170, 103
136, 202
143, 163
122, 146
246, 115
127, 138
106, 144
105, 102
138, 183
124, 226
102, 101
150, 107
149, 123
